x,y,z,class,sound_path,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light)
3.1545053,8.569854,8.615235,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_0-4.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
1.868405,9.272468,8.399584,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1003.5-1008.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
5.9908476,9.319347,8.723827,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1008.0-1012.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.2083025,8.570296,9.125131,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1012.5-1017.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.749355,9.073198,9.593646,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1017.0-1021.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.85384,9.016719,9.563889,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1021.5-1026.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.142182,8.639668,10.075025,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1026.0-1030.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.482986,8.11499,8.52534,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_103.5-108.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.03682,8.615466,10.058018,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1030.5-1035.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
5.233659,9.094654,10.071011,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1035.0-1039.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.888815,9.061142,10.120984,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1039.5-1044.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
6.276391,9.244701,9.990576,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1044.0-1048.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
6.7068377,9.530288,9.395744,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1048.5-1053.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.0219207,9.604112,9.299394,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1053.0-1057.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
6.192876,9.331624,9.549402,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1057.5-1062.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.567674,8.971094,10.0057955,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1062.0-1066.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.201311,8.572124,9.111404,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1066.5-1071.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.1552746,8.513347,9.346127,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1071.0-1075.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
1.3868754,7.630776,7.5506,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1075.5-1080.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.2118435,8.347154,9.284372,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_108.0-112.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
-0.04000437,8.218202,7.2091374,0,D:\PhD-data\Duval-DryA\20210419T000000+1000_REC_1080.0-1084.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
