x,y,z,class,sound_path
-0.08931671,-2.3979375,5.775972,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_0-4.5.wav
-0.31236997,-2.5295517,5.2343493,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1003.5-1008.0.wav
0.11022101,-2.5164223,5.3584085,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1008.0-1012.5.wav
-0.15349765,-2.4890404,5.3512325,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1012.5-1017.0.wav
-0.7971213,-2.4444013,5.241783,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1017.0-1021.5.wav
0.10043933,-2.5060914,5.3847136,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1021.5-1026.0.wav
-0.22525051,-2.5139322,5.301942,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1026.0-1030.5.wav
-1.7437702,-2.5386288,5.825919,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_103.5-108.0.wav
0.13382676,-2.5221846,5.372592,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1030.5-1035.0.wav
-0.37057632,-2.55922,5.2883763,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1035.0-1039.5.wav
-0.77075857,-2.4574718,5.23822,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1039.5-1044.0.wav
-0.9230318,-2.4065652,5.31146,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1044.0-1048.5.wav
-0.39882758,-2.580608,5.2746563,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1048.5-1053.0.wav
-0.91877973,-2.4185963,5.3160133,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1053.0-1057.5.wav
-0.78008646,-2.4941416,5.7606606,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1057.5-1062.0.wav
-1.0820446,-2.4504173,5.535442,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1062.0-1066.5.wav
-0.4849679,-2.09636,5.3522887,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1066.5-1071.0.wav
-0.5021379,-2.1013858,5.340244,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1071.0-1075.5.wav
-0.47843987,-2.099052,5.3510547,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1075.5-1080.0.wav
-0.9960776,-1.9503807,5.8113856,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_108.0-112.5.wav
-0.17021435,-2.3051124,5.4733076,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1080.0-1084.5.wav
-0.38998845,-2.2022288,5.4553432,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1084.5-1089.0.wav
-0.36191845,-2.199813,5.477994,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1089.0-1093.5.wav
-0.4834568,-2.5246787,5.4395633,0,https://leaves-demo-audio.s3.ap-southeast-2.amazonaws.com/Rinyirru-WetB/20210615T000000%2B1000_REC_1093.5-1098.0.wav
