x,y,z,class,sound_path,background_silence,birds,frogs,human_speech,insects,mammals,misc/uncertain,rain_(heavy),rain_(light),vehicles_(aircraft/cars),wind_(strong),wind_(light)
3.2879515,5.118472,12.411179,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_0-4.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.5689013,4.593229,12.735965,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1003.5-1008.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.8475814,4.2136283,12.491527,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1008.0-1012.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.49904,4.3453007,12.584235,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1012.5-1017.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.8163815,4.000116,16.028711,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1017.0-1021.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.8120785,4.002784,16.02412,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1021.5-1026.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.8142295,4.0022125,16.026432,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1026.0-1030.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.6728776,2.7190607,-0.4488439,2,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_103.5-108.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.815464,4.0012116,16.027716,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1030.5-1035.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.624212,4.1106744,15.818108,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1035.0-1039.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.6220937,4.1043053,15.817057,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1039.5-1044.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.8061647,-2.660887,2.9283166,3,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1044.0-1048.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.7256413,4.375268,12.378897,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1048.5-1053.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.8204048,4.217174,12.510009,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1053.0-1057.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.8882961,4.3130455,12.432927,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1057.5-1062.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.821584,4.3302984,12.458497,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1062.0-1066.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.8682861,4.342721,12.38914,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1066.5-1071.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.654401,4.360933,12.654233,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1071.0-1075.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.2463942,4.437449,12.729163,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1075.5-1080.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.3867817,5.172229,12.476427,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_108.0-112.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.749757,5.2176294,13.177794,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1080.0-1084.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.123363,5.1358814,13.242753,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1084.5-1089.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.5078235,4.101849,15.704704,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1089.0-1093.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.8202004,3.997389,16.03262,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1093.5-1098.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.810383,4.0051107,16.02223,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1098.0-1102.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.620794,4.103132,15.81634,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1102.5-1107.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.804286,4.0083003,16.015833,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1107.0-1111.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.6095033,4.1084976,15.804073,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1111.5-1116.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.611933,4.108442,15.806377,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1116.0-1120.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.7126307,4.9360847,12.399865,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_112.5-117.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.5995197,4.1072183,15.79361,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1120.5-1125.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.609624,4.1087685,15.803862,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1125.0-1129.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.606468,4.1084323,15.801211,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1129.5-1134.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.6094565,4.108808,15.803775,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1134.0-1138.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.6788824,5.321764,12.927379,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1138.5-1143.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.7948158,5.4273896,13.011322,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1143.0-1147.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
4.151899,5.2226205,13.310916,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1147.5-1152.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.2996125,4.4543304,12.317152,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1152.0-1156.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.8472364,4.3351655,12.3853245,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1156.5-1161.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.8990376,4.2820883,12.4548025,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1161.0-1165.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.3499584,4.460375,12.354686,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1165.5-1170.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.8886802,4.9367785,12.488832,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_117.0-121.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.2634404,4.334195,12.674124,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1170.0-1174.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.9255385,4.2643404,12.462851,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1174.5-1179.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
2.5113368,4.394009,12.4127245,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1179.0-1183.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
3.9253607,5.2562704,13.284207,0,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1183.5-1188.0.wav,0,0,0,0,0,0,0,0,0,0,0,0
7.618008,4.1105266,15.812435,1,D:\PhD-data\Undara-DryB\20210604T000000+1000_REC_1188.0-1192.5.wav,0,0,0,0,0,0,0,0,0,0,0,0
