x,y,z,class,sound_path
2.09257,14.337601,2.0022047,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_0-4.5.wav
2.16042,14.125125,2.3443427,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1003.5-1008.0.wav
2.2034671,14.075038,2.378426,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1008.0-1012.5.wav
1.6592202,14.727748,2.156994,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1012.5-1017.0.wav
-1.3765469,11.393073,-2.6226575,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1017.0-1021.5.wav
-1.4252235,11.329871,-2.7421052,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1021.5-1026.0.wav
1.6657732,14.723715,2.161524,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1026.0-1030.5.wav
-1.9009509,11.4375925,-4.140731,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_103.5-108.0.wav
-1.218662,10.269779,-3.391379,1,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1030.5-1035.0.wav
2.3505871,14.080031,2.2947795,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1035.0-1039.5.wav
2.35157,14.014549,2.3519611,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1039.5-1044.0.wav
2.2470398,14.086863,2.2808516,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1044.0-1048.5.wav
2.1942456,14.357638,1.4643795,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1048.5-1053.0.wav
2.3691218,14.146527,1.8768989,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1053.0-1057.5.wav
2.12312,14.207498,2.1628265,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1057.5-1062.0.wav
2.358231,14.130139,2.2241795,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1062.0-1066.5.wav
2.2246513,14.427599,2.2709458,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1066.5-1071.0.wav
2.329517,14.127651,2.1908765,0,D:\PhD-data\Wambiana-WetA\20210707T000000+1000_REC_1071.0-1075.5.wav
